id,code,name
paper_sub_10,10,بروستول كوشيه
paper_sub_20,20,دوبلكس
paper_sub_21,21,ظهر كرافت
paper_sub_31,31,كوشيه سلك
paper_sub_40,40,طبع
paper_sub_51,51,كرافت أبيض
paper_sub_52,52,كرافت ألماني
paper_sub_53,53,كرافت بني
paper_sub_61,61,سلوفيت
paper_sub_62,62,كرومو
paper_sub_32,32,كوشيه مط
paper_sub_63,63,استيكر
paper_sub_64,64,زبدة
paper_sub_33,33,كوشيه لميع
paper_sub_68,68,أستثماري
paper_sub_22,22,تريبليكس
paper_sub_65,65,بروستول
paper_sub_69,69,فبريانو
paper_sub_70,70,كونكورد
paper_sub_66,66,عجينة
paper_sub_71,71,كريستال
paper_sub_67,67,بالكي
paper_sub_72,72,كرافت زيتى
paper_sub_73,73,ميتاليز
paper_sub_74,74,مانيلا
paper_sub_75,75,ورق ألومنيوم
paper_sub_54,54,كرافت أسمنتى
paper_sub_76,76,فلوت
paper_sub_77,77,ورق حرير بينك
paper_sub_55,55,كرافت أبيض وجهين لميع
paper_sub_56,56,كرافت أبيض وجه لميع
paper_sub_81,81,مكربن أول
paper_sub_82,82,مكربن وسط
paper_sub_83,83,مكربن أخير
paper_sub_84,84,ظرف أمريكاني
paper_sub_85,85,جورنال
paper_sub_86,86,ظرف C4
